player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,,
Patrick Mahomes,10000,10000,1,QB,1,10000,9900,1,NA,2017,1,10,Pablo and the Stallions,,a,39291.78,1779.3325,,
Justin Jefferson,9480,9461,4,WR,2,9470.5,9372.66,2,-527.34,2020,1,22,The Serle Brothers,,b,38934.39,1421.9425,,
Josh Allen,9895,7715,2,QB,4,8805,8357.25,3,-1015.41,2018,1,7,The Scene Worships Me,,c,37879.71,367.2625,,
Jalen Hurts,9565,7525,3,QB,6,8545,8122.95,4,-234.3,2020,2,53,A Team of Chance,,d,37692.6,180.1525,,37512.4475
Joe Burrow,9095,7704,5,QB,5,8399.5,8085.99,5,-36.96,2020,1,1,JoJos Bizzare Massage,,e,38085.96,573.5125,,
Ja'Marr Chase,8365,7716,6,WR,3,8040.5,7853.01,6,-232.98,2021,1,5,The Serle Brothers,,f,37827.9,315.4525,,
Bijan Robinson,7652,7055,9,RB,8,7353.5,7181.46,7,-671.55,NA,NA,NA,Howling for Chubb,,me,37290.99,-221.4575,,
Lamar Jackson,7570,6668,10,QB,9,7119,6898.98,8,-282.48,2018,1,32,DirtyDan113,,h,37201.56,-310.8875,,
Justin Herbert,8018,6040,7,QB,10,7029,6632.34,9,-266.64,2020,1,6,Kissy Boy Jones,,i,36925.68,-586.7675,,
Trevor Lawrence,7838,5184,8,QB,20,6511,6007.98,10,-624.36,2021,1,1,HorseWomen of Color,,j,36338.28,-1174.1675,,
CeeDee Lamb,6672,5659,12,WR,12,6165.5,5936.7,11,-71.28,2020,1,17,A Team of Chance,,k,36338.61,-1173.8375,,
A.J. Brown,6599,5542,13,WR,14,6070.5,5835.39,12,-101.31,2019,2,51,JoJos Bizzare Massage,,l,36341.91,-1170.5375,,
Garrett Wilson,6589,5443,14,WR,16,6016,5766.75,13,-68.64,2022,1,10,Pablo and the Stallions,,l,,,,
Breece Hall,6141,5648,16,RB,13,5894.5,5754.21,14,-12.54,2022,2,36,The Scene Worships Me,,k,,,,
Justin Fields,6727,5326,11,QB,18,6026.5,5735.07,15,-19.14,2021,1,11,Howling for Chubb,,j,,,,
Christian McCaffrey,5817,5538,23,RB,15,5677.5,5574.69,16,-160.38,2017,1,8,The Scene Worships Me,,i,,,,
Anthony Richardson,6102,5381,17,QB,17,5741.5,5565.12,17,-9.57,NA,NA,NA,The Serle Brothers,,h,,,,
Amon-Ra St. Brown,5949,5170,18,WR,22,5559.5,5375.37,18,-189.75,2021,4,112,The Millennium Beer,,me,,,,
Jonathan Taylor,5896,5179,21,RB,21,5537.5,5363.82,19,-11.55,2020,2,41,The Millennium Beer,,f,,,,
Jaylen Waddle,6141,5048,15,WR,23,5594.5,5358.21,20,-5.61,2021,1,6,DirtyDan113,,e,,,,
Tyreek Hill,5288,4669,36,WR,24,4978.5,4826.58,21,-531.63,2016,5,165,Kissy Boy Jones,,d,,,,
Chris Olave,5921,4309,20,WR,29,5115,4797.87,22,-28.71,2022,1,11,Kissy Boy Jones,,c,,,,
Saquon Barkley,5245,4572,37,RB,26,4908.5,4748.37,23,-49.5,2018,1,2,HorseWomen of Color,,b,,,,
Jahmyr Gibbs,5611,4258,25,RB,30,4934.5,4661.91,24,-86.46,NA,NA,NA,HorseWomen of Color,,a,,,,
Mark Andrews,5302,4402,35,TE,27,4852,4654.98,25,-6.93,2018,3,86,HorseWomen of Color,,a,,,,
Deshaun Watson,5332,4386,32,QB,28,4859,4654.32,26,-0.66,2017,1,12,JoJos Bizzare Massage,,b,,,,
DeVonta Smith,5388,4256,27,WR,31,4822,4587,27,-67.32,2021,1,10,Pablo and the Stallions,,c,,,,
Drake London,5373,4246,30,WR,32,4809.5,4575.45,28,-11.55,2022,1,8,A Team of Chance,,d,,,,
Bryce Young,5812,3990,24,QB,39,4901,4551.36,29,-24.09,NA,NA,NA,Kissy Boy Jones,,e,,,,
Tee Higgins,5375,4174,29,WR,33,4774.5,4528.59,30,-22.77,2020,2,33,A Team of Chance,,f,,,,
Kyle Pitts,5377,4144,28,TE,37,4760.5,4509.45,31,-19.14,2021,1,4,Pablo and the Stallions,,me,,,,
Travis Kelce,5204,4157,39,TE,34,4680.5,4460.94,32,-48.51,2013,3,63,HorseWomen of Color,,h,,,,
Stefon Diggs,5192,4147,40,WR,35,4669.5,4450.38,33,-10.56,2015,5,146,HorseWomen of Color,,i,,,,
Jaxon Smith-Njigba,5313,3848,34,WR,42,4580.5,4292.97,34,-157.41,NA,NA,NA,Pablo and the Stallions,,j,,,,
Travis Etienne,5150,3883,41,RB,41,4516.5,4262.28,35,-30.69,2021,1,25,JoJos Bizzare Massage,,k,,,,
Davante Adams,4660,4118,50,WR,38,4389,4255.68,36,-6.6,2014,2,53,The Scene Worships Me,,l,,,,
Kenneth Walker,5083,3818,42,RB,43,4450.5,4197.27,37,-58.41,2022,2,41,DirtyDan113,,l,,,,
DK Metcalf,5365,3596,31,WR,46,4480.5,4143.81,38,-53.46,2019,2,64,The Millennium Beer,,k,,,,
Kyler Murray,5326,3569,33,QB,47,4447.5,4113.12,39,-30.69,2019,1,1,The Serle Brothers,,j,,,,
Austin Ekeler,4622,3888,53,RB,40,4255,4091.34,40,-21.78,NA,NA,NA,DirtyDan113,,i,,,,
Cooper Kupp,4800,3734,44,WR,45,4267,4048.44,41,-42.9,2017,3,69,The Scene Worships Me,,h,,,,
C.J. Stroud,5425,3392,26,QB,49,4408.5,4028.97,42,-19.47,NA,NA,NA,Howling for Chubb,,me,,,,
Josh Jacobs,4780,3484,45,RB,48,4132,3876.84,43,-152.13,2019,1,24,Kissy Boy Jones,,f,,,,
Dak Prescott,5242,3148,38,QB,54,4195,3807.54,44,-69.3,2016,4,135,DirtyDan113,,e,,,,
Najee Harris,4657,3332,51,RB,50,3994.5,3735.93,45,-71.61,2021,1,24,The Serle Brothers,,d,,,,
Tua Tagovailoa,4802,3168,43,QB,52,3985,3675.54,46,-60.39,2020,1,5,The Millennium Beer,,c,,,,
Rhamondre Stevenson,4576,3262,55,RB,51,3919,3663,47,-12.54,2021,4,120,A Team of Chance,,b,,,,
Daniel Jones,4593,3045,54,QB,57,3819,3525.39,48,-137.61,2019,1,6,Pablo and the Stallions,,a,,,,
Tony Pollard,4712,2968,46,RB,60,3840,3513.84,49,-11.55,2019,4,128,The Scene Worships Me,,a,,,,
T.J. Hockenson,4540,3051,57,TE,56,3795.5,3511.86,50,-1.98,2019,1,8,JoJos Bizzare Massage,,b,,,,
Nick Chubb,4373,3118,60,RB,55,3745.5,3500.97,51,-10.89,2018,2,35,Howling for Chubb,,c,,,,
Jordan Addison,4645,2963,52,WR,61,3804,3488.43,52,-12.54,NA,NA,NA,The Serle Brothers,,d,,,,
Javonte Williams,4447,2979,58,RB,59,3713,3433.65,53,-54.78,2021,2,35,The Millennium Beer,,e,,,,
D.J. Moore,4394,2856,59,WR,64,3625,3334.98,54,-98.67,2018,1,24,The Scene Worships Me,,f,,,,
J.K. Dobbins,4216,2935,72,RB,62,3575.5,3328.38,55,-6.6,2020,2,55,Pablo and the Stallions,,me,,,,
Michael Pittman,4318,2866,61,WR,63,3592,3316.5,56,-11.88,2020,2,34,Kissy Boy Jones,,h,,,,
Deebo Samuel,4291,2786,64,WR,66,3538.5,3254.79,57,-61.71,2019,2,36,DirtyDan113,,i,,,,
Christian Watson,4555,2653,56,WR,76,3604,3254.13,58,-0.66,2022,2,34,JoJos Bizzare Massage,,j,,,,
George Kittle,4200,2812,73,TE,65,3506,3241.92,59,-12.21,2017,5,146,DirtyDan113,,k,,,,
Jahan Dotson,4291,2739,65,WR,68,3515,3223.77,60,-18.15,2022,1,16,JoJos Bizzare Massage,,l,,,,
Treylon Burks,4307,2705,63,WR,71,3506,3206.61,61,-17.16,2022,1,18,JoJos Bizzare Massage,,l,,,,
Kenny Pickett,4235,2673,69,QB,73,3454,3161.73,62,-44.88,2022,1,20,Pablo and the Stallions,,k,,,,
Dameon Pierce,4162,2650,78,RB,77,3406,3122.46,63,-39.27,2022,4,107,The Scene Worships Me,,j,,,,
Jared Goff,3989,2728,83,QB,69,3358.5,3116.85,64,-5.61,2016,1,1,A Team of Chance,,i,,,,
Derrick Henry,3894,2775,90,RB,67,3334.5,3116.52,65,-0.33,2016,2,45,JoJos Bizzare Massage,,h,,,,
D'Andre Swift,4019,2696,82,RB,72,3357.5,3105.63,66,-10.89,2020,2,35,Howling for Chubb,,me,,,,
Chris Godwin,4047,2666,81,WR,74,3356.5,3095.07,67,-10.56,2017,3,84,The Scene Worships Me,,f,,,,
Quentin Johnston,4253,2500,66,WR,83,3376.5,3053.49,68,-41.58,NA,NA,NA,Howling for Chubb,,e,,,,
Jameson Williams,4237,2505,67,WR,81,3371,3051.51,69,-1.98,2022,1,12,Howling for Chubb,,d,,,,
Jerry Jeudy,4223,2511,71,WR,80,3367,3050.85,70,-0.66,2020,1,15,Pablo and the Stallions,,c,,,,
Miles Sanders,3899,2662,88,RB,75,3280.5,3043.59,71,-7.26,2019,2,53,DirtyDan113,,b,,,,
Dalton Kincaid,4142,2540,80,TE,79,3341,3043.26,72,-0.33,NA,NA,NA,A Team of Chance,,a,,,,
Jordan Love,4308,2391,62,QB,87,3349.5,2999.7,73,-43.56,2020,1,26,The Scene Worships Me,,a,,,,
Brandon Aiyuk,4225,2424,70,WR,85,3324.5,2994.09,74,-5.61,2020,1,25,Howling for Chubb,,b,,,,
George Pickens,4174,2356,76,WR,90,3265,2932.38,75,-61.71,2022,2,52,Howling for Chubb,,c,,,,
Terry McLaurin,4179,2300,75,WR,91,3239.5,2897.07,76,-35.31,2019,3,76,DirtyDan113,,d,,,,
Russell Wilson,3555,2501,103,QB,82,3028,2823.81,77,-73.26,2012,3,75,The Serle Brothers,,e,,,,
Kirk Cousins,3728,2362,97,QB,88,3045,2789.16,78,-34.65,2012,4,102,JoJos Bizzare Massage,,f,,,,
Dallas Goedert,3959,2211,84,TE,96,3085,2765.73,79,-23.43,2018,2,49,A Team of Chance,,me,,,,
Zay Flowers,4236,2056,68,WR,108,3146,2754.84,80,-10.89,NA,NA,NA,Kissy Boy Jones,,h,,,,
Amari Cooper,3752,2261,95,WR,95,3006.5,2730.42,81,-24.42,2015,1,4,JoJos Bizzare Massage,,i,,,,
Rachaad White,3712,2271,99,RB,94,2991.5,2723.82,82,-6.6,2022,3,91,The Millennium Beer,,j,,,,
Trey Lance,3898,2154,89,QB,99,3026,2707.98,83,-15.84,2021,1,3,The Millennium Beer,,k,,,,
Marquise Brown,3924,2127,87,WR,101,3025.5,2698.74,84,-9.24,2019,1,25,HorseWomen of Color,,l,,,,
Diontae Johnson,3859,2154,91,WR,100,3006.5,2695.11,85,-3.63,2019,3,66,JoJos Bizzare Massage,,l,,,,
Aaron Rodgers,3524,2285,105,QB,93,2904.5,2671.02,86,-24.09,NA,NA,NA,The Scene Worships Me,,k,,,,
Joe Mixon,3412,2289,107,RB,92,2850.5,2636.7,87,-34.32,2017,2,48,JoJos Bizzare Massage,,j,,,,
Zach Charbonnet,3758,2105,94,RB,103,2931.5,2629.44,88,-7.26,NA,NA,NA,Howling for Chubb,,i,,,,
Dalvin Cook,3150,2405,123,RB,86,2777.5,2626.8,89,-2.64,2017,2,41,Kissy Boy Jones,,h,,,,
Calvin Ridley,3941,1988,85,WR,112,2964.5,2612.61,90,-14.19,NA,NA,NA,HorseWomen of Color,,me,,,,
Geno Smith,3727,2073,98,QB,106,2900,2598.09,91,-14.52,2013,2,39,Kissy Boy Jones,,f,,,,
Derek Carr,3617,2113,101,QB,102,2865,2588.19,92,-9.9,2014,2,36,JoJos Bizzare Massage,,e,,,,
Devon Achane,3648,2092,100,RB,104,2870,2584.56,93,-3.63,NA,NA,NA,HorseWomen of Color,,d,,,,
Christian Kirk,3941,1926,86,WR,117,2933.5,2571.69,94,-12.87,2018,2,47,The Millennium Beer,,c,,,,
Pat Freiermuth,3733,1983,96,TE,113,2858,2540.67,95,-31.02,2021,2,55,The Millennium Beer,,b,,,,
Will Levis,3526,2079,104,QB,105,2802.5,2535.72,96,-4.95,NA,NA,NA,JoJos Bizzare Massage,,a,,,,
Aaron Jones,3396,2039,109,RB,109,2717.5,2466.42,97,-69.3,2017,5,182,The Scene Worships Me,,a,,,,
Cam Akers,3259,2017,117,RB,110,2638,2406.69,98,-59.73,2020,2,52,JoJos Bizzare Massage,,b,,,,
James Cook,3380,1899,111,RB,119,2639.5,2368.74,99,-37.95,2022,2,63,A Team of Chance,,c,,,,
Brock Purdy,3787,1672,93,QB,129,2729.5,2353.23,100,-15.51,2022,7,262,Kissy Boy Jones,,d,,,,
Kadarius Toney,3391,1821,110,WR,123,2606,2320.89,101,-32.34,2021,1,20,Pablo and the Stallions,,e,,,,
DeAndre Hopkins,3164,1920,121,WR,118,2542,2311.32,102,-9.57,2013,1,27,DirtyDan113,,f,,,,
Keenan Allen,2969,2005,133,WR,111,2487,2303.07,103,-8.25,2013,3,76,JoJos Bizzare Massage,,me,,,,
Michael Mayer,3491,1742,106,TE,126,2616.5,2301.75,104,-1.32,NA,NA,NA,Kissy Boy Jones,,h,,,,
Mike Evans,3241,1848,118,WR,121,2544.5,2289.21,105,-12.54,2014,1,7,HorseWomen of Color,,i,,,,
David Montgomery,3125,1890,125,RB,120,2507.5,2278.65,106,-10.56,2019,3,73,Kissy Boy Jones,,j,,,,
Alvin Kamara,2952,1951,135,RB,114,2451.5,2261.82,107,-16.83,2017,3,67,Pablo and the Stallions,,k,,,,
Jonathan Mingo,3405,1685,108,WR,128,2545,2235.75,108,-26.07,NA,NA,NA,The Serle Brothers,,l,,,,
Isiah Pacheco,3570,1589,102,RB,134,2579.5,2226.84,109,-8.91,2022,7,251,DirtyDan113,,l,,,,
Desmond Ridder,3138,1760,124,QB,125,2449,2197.14,110,-29.7,2022,3,74,The Millennium Beer,,k,,,,
Darren Waller,2976,1805,129,TE,124,2390.5,2173.38,111,-23.76,2015,6,204,Howling for Chubb,,j,,,,
Rashod Bateman,3308,1613,114,WR,132,2460.5,2156.22,112,-17.16,2021,1,27,The Serle Brothers,,i,,,,
AJ Dillon,3073,1663,126,RB,130,2368,2111.67,113,-44.55,2020,2,62,The Millennium Beer,,h,,,,
Sam LaPorta,3186,1559,119,TE,136,2372.5,2080.32,114,-31.35,NA,NA,NA,Howling for Chubb,,me,,,,
Alexander Mattison,3152,1571,122,RB,135,2361.5,2077.02,115,-3.3,2019,3,102,The Serle Brothers,,f,,,,
Mike Williams,3263,1494,116,WR,140,2378.5,2062.83,116,-14.19,2017,1,7,Kissy Boy Jones,,e,,,,
Mac Jones,3179,1527,120,QB,138,2353,2056.89,117,-5.94,2021,1,15,A Team of Chance,,d,,,,
Brian Robinson,2976,1599,130,RB,133,2287.5,2037.42,118,-19.47,NA,NA,NA,DirtyDan113,,c,,,,
Kendre Miller,3344,1357,112,RB,157,2350.5,1999.14,119,-38.28,NA,NA,NA,Pablo and the Stallions,,b,,,,
Roschon Johnson,3038,1497,127,RB,139,2267.5,1990.56,120,-8.58,NA,NA,NA,HorseWomen of Color,,a,,,,
Sam Howell,2904,1428,137,QB,147,2166,1900.8,121,-89.76,2022,5,144,Howling for Chubb,,,,,,
Jimmy Garoppolo,2801,1468,142,QB,143,2134.5,1893.21,122,-7.59,2014,2,62,Howling for Chubb,,,,,,
Chigoziem Okonkwo,2955,1374,134,TE,155,2164.5,1881.99,123,-11.22,2022,4,143,The Scene Worships Me,,,,,,
Elijah Moore,3002,1346,128,WR,160,2174,1879.02,124,-2.97,2021,2,34,The Scene Worships Me,,,,,,
Courtland Sutton,2724,1474,152,WR,142,2099,1871.76,125,-7.26,2018,2,40,HorseWomen of Color,,,,,,
Josh Downs,2970,1326,132,WR,163,2148,1855.26,126,-16.5,NA,NA,NA,JoJos Bizzare Massage,,,,,,
Evan Engram,2793,1385,143,TE,153,2089,1835.79,127,-19.47,2017,1,23,Kissy Boy Jones,,,,,,
James Conner,2697,1432,155,RB,146,2064.5,1835.13,128,-0.66,2017,3,105,Kissy Boy Jones,,,,,,
Tank Bigsby,2747,1403,150,RB,151,2075,1832.49,129,-2.64,NA,NA,NA,A Team of Chance,,,,,,
Greg Dulcich,2775,1388,145,TE,152,2081.5,1831.83,130,-0.66,2022,3,80,JoJos Bizzare Massage,,,,,,
Rashee Rice,2828,1353,140,WR,158,2090.5,1826.22,131,-5.61,NA,NA,NA,Howling for Chubb,,,,,,
Marvin Mims,2907,1293,136,WR,166,2100,1812.69,132,-13.53,NA,NA,NA,The Millennium Beer,,,,,,
Antonio Gibson,2720,1375,153,RB,154,2047.5,1805.1,133,-7.59,2020,3,66,The Serle Brothers,,,,,,
Matthew Stafford,2566,1449,163,QB,145,2007.5,1803.12,134,-1.98,NA,NA,NA,The Millennium Beer,,,,,,
Khalil Herbert,2817,1322,141,RB,164,2069.5,1802.13,135,-0.99,2021,6,217,Kissy Boy Jones,,,,,,
JuJu Smith-Schuster,2646,1404,160,WR,149,2025,1799.82,136,-2.31,2017,2,62,Howling for Chubb,,,,,,
Tyler Lockett,2752,1344,149,WR,161,2048,1795.2,137,-4.62,2015,3,69,Howling for Chubb,,,,,,
David Njoku,2728,1352,151,TE,159,2040,1792.56,138,-2.64,2017,1,29,The Serle Brothers,,,,,,
Gabriel Davis,2768,1305,147,WR,165,2036.5,1774.74,139,-17.82,2020,4,128,Howling for Chubb,,,,,,
Hendon Hooker,2463,1425,169,QB,148,1944,1753.29,140,-21.45,NA,NA,NA,Howling for Chubb,,,,,,
Jayden Reed,2781,1206,144,WR,169,1993.5,1713.69,141,-39.6,NA,NA,NA,The Serle Brothers,,,,,,
Brandin Cooks,2397,1371,171,WR,156,1884,1695.87,142,-17.82,2014,1,20,HorseWomen of Color,,,,,,
Jalin Hyatt,2762,1173,148,WR,171,1967.5,1685.64,143,-10.23,NA,NA,NA,Pablo and the Stallions,,,,,,
Cole Kmet,2682,1154,157,TE,173,1918,1646.7,144,-38.94,2020,2,43,JoJos Bizzare Massage,,,,,,
