player_name,normalized_ktc,normalized_fc,normalized_fp,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick
Patrick Mahomes,10000,10000,10000,1,QB,1,10000,10000,1,NA,2017,1,10
Josh Allen,9945,9555,10000,2,QB,2,9833.333333333334,9763.75,2,-236.25,2018,1,7
Jalen Hurts,9037,8642,9630,5,QB,3,9103,8987.75,3,-776,2020,2,53
Joe Burrow,9212,8490,9383,4,QB,4,9028.333333333334,8893.75,4,-94,2020,1,1
Justin Jefferson,9224,8300,8765,3,WR,5,8763,8647.25,5,-246.5,2020,1,22
Justin Herbert,8165,7441,8642,6,QB,6,8082.666666666667,7922.25,6,-725,2020,1,6
Ja'Marr Chase,8165,7194,8642,7,WR,7,8000.333333333333,7798.75,7,-123.5,2021,1,5
Trevor Lawrence,7763,6425,8519,8,QB,8,7569,7283,8,-515.75,2021,1,1
Lamar Jackson,6977,6156,8148,9,QB,9,7093.666666666667,6859.25,9,-423.75,2018,1,32
Justin Fields,6297,5559,8765,12,QB,10,6873.666666666667,6545,10,-314.25,2021,1,11
CeeDee Lamb,6535,5383,8395,10,WR,11,6771,6424,11,-121,2020,1,17
A.J. Brown,6454,5089,8272,11,WR,12,6605,6226,12,-198,2019,2,51
Jonathan Taylor,5853,5008,8765,17,RB,13,6542,6158.5,13,-67.5,2020,2,41
Breece Hall,6173,4695,7901,14,RB,15,6256.333333333333,5866,14,-292.5,2022,2,36
Jaylen Waddle,5977,4623,8025,15,WR,19,6208.333333333333,5812,15,-54,2021,1,6
Kenneth Walker,5713,4529,8148,19,RB,20,6130,5729.75,16,-82.25,2022,2,41
Garrett Wilson,6198,4713,7160,13,WR,14,6023.666666666667,5696,17,-33.75,2022,1,10
Amon-Ra St. Brown,5913,4429,7778,16,WR,22,6040,5637.25,18,-58.75,2021,4,112
Christian McCaffrey,5531,4652,7654,24,RB,18,5945.666666666667,5622.25,19,-15,2017,1,8
Tyreek Hill,5319,4506,7901,31,WR,21,5908.666666666667,5558,20,-64.25,2016,5,165
Deshaun Watson,5349,4657,7407,30,QB,17,5804.333333333333,5517.5,21,-40.5,2017,1,12
Saquon Barkley,5288,4226,8025,32,RB,25,5846.333333333333,5441.25,22,-76.25,2018,1,2
Kyler Murray,5663,4235,7160,20,QB,24,5686,5323.25,23,-118,2019,1,1
Dak Prescott,5046,4344,7284,35,QB,23,5558,5254.5,24,-68.75,2016,4,135
Chris Olave,5592,3935,7407,22,WR,28,5644.666666666667,5217.25,25,-37.25,2022,1,11
Stefon Diggs,5111,3911,7531,34,WR,30,5517.666666666667,5116,26,-101.25,2015,5,146
Tee Higgins,5655,4042,6173,21,WR,27,5290,4978,27,-138,2020,2,33
Kyle Pitts,5543,3825,6543,23,TE,31,5303.666666666667,4934,28,-44,2021,1,4
Travis Etienne,5364,3541,7284,29,RB,38,5396.333333333333,4932.5,29,-1.5,2021,1,25
DeVonta Smith,5480,3711,6667,25,WR,32,5286,4892.25,30,-40.25,2021,1,10
Drake London,5402,3599,6914,28,WR,36,5305,4878.5,31,-13.75,2022,1,8
Travis Kelce,5009,3932,6296,36,TE,29,5079,4792.25,32,-86.25,2013,3,63
DK Metcalf,5429,3575,6420,27,WR,37,5141.333333333333,4749.75,33,-42.5,2019,2,64
Davante Adams,4752,3444,7037,40,WR,41,5077.666666666667,4669.25,34,-80.5,2014,2,53
Austin Ekeler,4740,3687,6420,42,RB,34,4949,4633.5,35,-35.75,NA,NA,NA
Mark Andrews,5176,3540,6049,33,TE,39,4921.666666666667,4576.25,36,-57.25,2018,3,86
Cooper Kupp,4876,3436,6543,38,WR,42,4951.666666666667,4572.75,37,-3.5,2017,3,69
Tua Tagovailoa,4740,3626,6296,41,QB,35,4887.333333333333,4572,38,-0.75,2020,1,5
Josh Jacobs,4839,3456,6420,39,RB,40,4905,4542.75,39,-29.25,2019,1,24
Nick Chubb,4520,3230,6420,58,RB,46,4723.333333333333,4350,40,-192.75,2018,2,35
Trey Lance,4683,3247,6173,48,QB,45,4701,4337.5,41,-12.5,2021,1,3
Javonte Williams,4683,3228,6173,49,RB,47,4694.666666666667,4328,42,-9.5,2021,2,35
Najee Harris,4614,3325,5926,53,RB,44,4621.666666666667,4297.5,43,-30.5,2021,1,24
Rhamondre Stevenson,4533,2835,6914,57,RB,54,4760.666666666667,4279.25,44,-18.25,2021,4,120
D'Andre Swift,4514,2951,5556,60,RB,51,4340.333333333333,3993,45,-286.25,2020,2,35
Christian Watson,4648,2662,5926,51,WR,57,4412,3974.5,46,-18.5,2022,2,34
Daniel Jones,4710,3003,5062,45,QB,50,4258.333333333333,3944.5,47,-30,2019,1,6
Michael Pittman,4618,2731,5679,52,WR,56,4342.666666666667,3939.75,48,-4.75,2020,2,34
T.J. Hockenson,4714,3147,4444,44,TE,48,4101.666666666667,3863,49,-76.75,2019,1,8
Deebo Samuel,4695,2949,4815,47,WR,52,4153,3852,50,-11,2019,2,36
Jameson Williams,4700,2631,5432,46,WR,62,4254.333333333333,3848.5,51,-3.5,2022,1,12
Tony Pollard,4460,2429,6049,63,RB,72,4312.666666666667,3841.75,52,-6.75,2019,4,128
D.J. Moore,4483,2636,5309,62,WR,61,4142.666666666667,3766,53,-75.75,2018,1,24
Chris Godwin,4419,2577,5062,64,WR,65,4019.3333333333335,3658.75,54,-107.25,2017,3,84
Brandon Aiyuk,4549,2339,5185,56,WR,79,4024.3333333333335,3603,55,-55.75,2020,1,25
Kirk Cousins,3834,2475,5556,81,QB,69,3955,3585,56,-18,2012,4,102
Jerry Jeudy,4576,2526,4691,55,WR,66,3931,3579.75,57,-5.25,2020,1,15
Treylon Burks,4673,2584,4444,50,WR,64,3900.3333333333335,3571.25,58,-8.5,2022,1,18
Derrick Henry,3989,2656,4938,78,RB,58,3861,3559.75,59,-11.5,2016,2,45
Terry McLaurin,4271,2415,4938,67,WR,73,3874.6666666666665,3509.75,60,-50,2019,3,76
George Kittle,4254,2842,3951,68,TE,53,3682.3333333333335,3472.25,61,-37.5,2017,5,146
Jared Goff,4151,2486,4321,73,QB,68,3652.6666666666665,3361,62,-111.25,2016,1,1
J.K. Dobbins,4094,2372,4444,75,RB,76,3636.6666666666665,3320.5,63,-40.5,2020,2,55
Joe Mixon,3623,2454,4691,92,RB,70,3589.3333333333335,3305.5,64,-15,2017,2,48
Russell Wilson,3932,2641,3951,79,QB,60,3508,3291.25,65,-14.25,2012,3,75
Dallas Goedert,4089,2437,4198,76,TE,71,3574.6666666666665,3290.25,66,-1,2018,2,49
Kenny Pickett,4362,2650,3457,65,QB,59,3489.6666666666665,3279.75,67,-10.5,2022,1,20
Dalvin Cook,3633,2412,4321,91,RB,74,3455.3333333333335,3194.5,68,-85.25,2017,2,41
George Pickens,4491,2524,3210,61,WR,67,3408.3333333333335,3187.25,69,-7.25,2022,2,52
Derek Carr,3798,2355,4198,84,QB,78,3450.3333333333335,3176.5,70,-10.75,2014,2,36
Christian Kirk,4156,2051,4074,72,WR,89,3427,3083,71,-93.5,2018,2,47
Jahan Dotson,4336,1892,4198,66,WR,98,3475.3333333333335,3079.5,72,-3.5,2022,1,16
Dameon Pierce,4145,2356,3457,74,RB,77,3319.3333333333335,3078.5,73,-1,2022,4,107
Marquise Brown,4243,2187,3457,69,WR,84,3295.6666666666665,3018.5,74,-60,2019,1,25
Diontae Johnson,4000,2052,3827,77,WR,88,3293,2982.75,75,-35.75,2019,3,66
Mac Jones,3657,2239,3704,90,QB,82,3200,2959.75,76,-23,2021,1,15
Pat Freiermuth,3804,2142,3704,83,TE,85,3216.6666666666665,2948,77,-11.75,2021,2,55
Aaron Jones,3401,1876,4568,102,RB,99,3281.6666666666665,2930.25,78,-17.75,2017,5,182
Geno Smith,3552,1922,4321,96,QB,96,3265,2929.25,79,-1,2013,2,39
Aaron Rodgers,3077,1876,4815,116,QB,100,3256,2911,80,-18.25,NA,NA,NA
Amari Cooper,3820,2103,3333,82,WR,87,3085.3333333333335,2839.75,81,-71.25,2015,1,4
Cam Akers,3433,1750,4074,100,RB,108,3085.6666666666665,2751.75,82,-88,2020,2,52
Miles Sanders,3393,1941,3704,103,RB,94,3012.6666666666665,2744.75,83,-7,2019,2,53
Rachaad White,3753,1935,3086,85,RB,95,2924.6666666666665,2677.25,84,-67.5,2022,3,91
Rashod Bateman,3681,1777,3333,88,WR,104,2930.3333333333335,2642,85,-35.25,2021,1,27
Jordan Love,3715,2204,1975,86,QB,83,2631.3333333333335,2524.5,86,-117.5,2020,1,26
DeAndre Hopkins,3450,1982,2593,99,WR,91,2675,2501.75,87,-22.75,2013,1,27
Calvin Ridley,3622,1855,2469,93,WR,102,2648.6666666666665,2450.25,88,-51.5,NA,NA,NA
James Cook,3570,1550,3086,95,RB,122,2735.3333333333335,2439,89,-11.25,2022,2,63
Mike Evans,3517,1943,2346,97,WR,93,2602,2437.25,90,-1.75,2014,1,7
Mike Williams,3573,1771,2593,94,WR,106,2645.6666666666665,2427,91,-10.25,2017,1,7
Courtland Sutton,3084,1495,3580,115,WR,128,2719.6666666666665,2413.5,92,-13.5,2018,2,40
David Njoku,3101,1517,3457,113,TE,125,2691.6666666666665,2398,93,-15.5,2017,1,29
Alvin Kamara,2973,1812,2963,122,RB,103,2582.6666666666665,2390,94,-8,2017,3,67
AJ Dillon,3411,1526,3086,101,RB,123,2674.3333333333335,2387.25,95,-2.75,2020,2,62
Matthew Stafford,2899,1950,2593,130,QB,92,2480.6666666666665,2348,96,-39.25,NA,NA,NA
Greg Dulcich,3135,1500,3210,109,TE,126,2615,2336.25,97,-11.75,2022,3,80
Isiah Pacheco,3657,1699,2222,89,RB,110,2526,2319.25,98,-17,2022,7,251
Brian Robinson,3255,1579,2716,106,RB,119,2516.6666666666665,2282.25,99,-37,NA,NA,NA
Tyler Allgeier,3454,1595,2346,98,RB,117,2465,2247.5,100,-34.75,2022,5,151
Evan Engram,2946,1432,3086,125,TE,132,2488,2224,101,-23.5,2017,1,23
Dalton Schultz,3129,1564,2469,110,TE,120,2387.3333333333335,2181.5,102,-42.5,2018,4,137
Kadarius Toney,3247,1381,2716,107,WR,135,2448,2181.25,103,-0.25,2021,1,20
JuJu Smith-Schuster,2813,1451,2963,142,WR,130,2409,2169.5,104,-11.75,2017,2,62
Khalil Herbert,3121,1324,2716,111,RB,141,2387,2121.25,105,-48.25,2021,6,217
Cole Kmet,3075,1649,2099,117,TE,112,2274.3333333333335,2118,106,-3.25,2020,2,43
Keenan Allen,3087,1641,2099,114,WR,115,2275.6666666666665,2117,107,-1,2013,3,76
Brock Purdy,3312,1713,1605,105,QB,109,2210,2085.75,108,-31.25,2022,7,262
David Montgomery,3033,1562,2099,119,RB,121,2231.3333333333335,2064,109,-21.75,2019,3,73
Antonio Gibson,2845,1361,2593,136,RB,136,2266.3333333333335,2040,110,-24,2020,3,66
Gabriel Davis,3018,1585,1728,120,WR,118,2110.3333333333335,1979,111,-61,2020,4,128
Tyler Lockett,2929,1434,2099,127,WR,131,2154,1974,112,-5,2015,3,69
Darren Waller,2901,1645,1605,129,TE,114,2050.3333333333335,1949,113,-25,2015,6,204
Chigoziem Okonkwo,2815,1166,2593,141,TE,157,2191.3333333333335,1935,114,-14,2022,4,143
Darnell Mooney,2943,1258,2222,126,WR,148,2141,1920.25,115,-14.75,2020,5,173
Jakobi Meyers,3106,1342,1852,112,WR,139,2100,1910.5,116,-9.75,NA,NA,NA
Sam Howell,3010,1754,1111,121,QB,107,1958.3333333333333,1907.25,117,-3.25,2022,5,144
Skyy Moore,2848,1288,1975,135,WR,143,2037,1849.75,118,-57.5,2022,2,54
Jimmy Garoppolo,2831,1382,1728,139,QB,134,1980.3333333333333,1830.75,119,-19,2014,2,62
Trey McBride,2894,1320,1728,132,TE,142,1980.6666666666667,1815.5,120,-15.25,2022,2,55
Rondale Moore,2878,1236,1852,133,WR,149,1988.6666666666667,1800.5,121,-15,2021,2,49
Elijah Moore,3071,1351,1358,118,WR,138,1926.6666666666667,1782.75,122,-17.75,2021,2,34
James Conner,2693,1355,1728,149,RB,137,1925.3333333333333,1782.75,123,0,2017,3,105
Ryan Tannehill,2421,1176,2346,160,QB,156,1981,1779.75,124,-3,2012,1,8
Wan'Dale Robinson,2966,1211,1481,123,WR,152,1886,1717.25,125,-62.5,2022,2,43
Alec Pierce,2954,1055,1358,124,WR,170,1789,1605.5,126,-111.75,2022,2,53
Kareem Hunt,2423,1266,1358,159,RB,147,1682.3333333333333,1578.25,127,-27.25,2017,3,86
Desmond Ridder,2816,1495,494,140,QB,127,1601.6666666666667,1575,128,-3.25,2022,3,74
Chase Claypool,2478,1034,1605,155,WR,172,1705.6666666666667,1537.75,129,-37.25,2020,2,49
Donovan Peoples-Jones,2746,1135,1111,145,WR,160,1664,1531.75,130,-6,2020,6,187
Kenneth Gainwell,2837,1268,617,137,RB,146,1574,1497.5,131,-34.25,2021,5,150
Josh Palmer,2699,1130,988,147,WR,163,1605.6666666666667,1486.75,132,-10.75,2021,3,77
Isaiah Likely,2694,1050,1111,148,TE,171,1618.3333333333333,1476.25,133,-10.5,2022,4,139
Dawson Knox,2577,1282,617,153,TE,145,1492,1439.5,134,-36.75,2019,3,96
Mike Gesicki,2251,1074,1358,166,TE,167,1561,1439.25,135,-0.25,2018,2,42
Jamaal Williams,2705,1229,494,146,RB,151,1476,1414.25,136,-25,2017,4,134
Jelani Woods,2045,819,1852,185,TE,205,1572,1383.75,137,-30.5,2022,3,73
Ezekiel Elliott,2458,1193,617,156,RB,154,1422.6666666666667,1365.25,138,-18.5,2016,1,4
Alexander Mattison,2598,1127,494,151,RB,164,1406.3333333333333,1336.5,139,-28.75,2019,3,102
Leonard Fournette,2082,1193,864,179,RB,153,1379.6666666666667,1333,140,-3.5,2017,1,4
Romeo Doubs,2834,1061,370,138,WR,169,1421.6666666666667,1331.5,141,-1.5,2022,4,132
Zay Jones,2350,980,988,164,WR,181,1439.3333333333333,1324.5,142,-7,2017,2,37
Malik Willis,2074,927,1111,181,QB,188,1370.6666666666667,1259.75,143,-64.75,2022,3,86
John Metchie,2761,1130,0,144,WR,162,1297,1255.25,144,-4.5,NA,NA,NA
Kyle Trask,1818,984,NA,205,QB,180,1401,1249.38,145,-5.869999999999891,2021,2,64
Allen Lazard,2196,940,864,171,WR,185,1333.3333333333333,1235,146,-14.38000000000011,NA,NA,NA
Devin Singletary,2212,989,741,168,RB,178,1314,1232.75,147,-2.25,2019,3,74
Elijah Mitchell,2579,988,370,152,RB,179,1312.3333333333333,1231.25,148,-1.5,2021,6,194
Damien Harris,2212,924,864,169,RB,189,1333.3333333333333,1231,149,-0.25,2019,3,87
Brandin Cooks,2381,1011,494,163,WR,176,1295.3333333333333,1224.25,150,-6.75,2014,1,20
Zach Wilson,2081,1091,617,180,QB,166,1263,1220,151,-4.25,2021,1,2
Nico Collins,2384,910,617,162,WR,191,1303.6666666666667,1205.25,152,-14.75,2021,3,89
Tyquan Thornton,2117,709,1235,178,WR,223,1353.6666666666667,1192.5,153,-12.75,2022,2,50
