player_name,normalized_ktc,normalized_fc,normalized_fp,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick
Daniel Bellinger,2529,918,370,154,TE,190,1272.3333333333333,1183.75,154,-8.75,2022,4,112
Rashid Shaheed,2059,747,1111,183,WR,218,1305.6666666666667,1166,155,-17.75,NA,NA,NA
D.J. Chark,2173,847,741,176,WR,200,1253.6666666666667,1152,156,-14,2018,2,61
Tyler Boyd,2428,962,247,158,WR,184,1212.3333333333333,1149.75,157,-2.25,2016,2,55
Tyler Higbee,1670,793,1235,213,TE,209,1232.6666666666667,1122.75,158,-27,2016,4,110
Noah Fant,2185,902,494,173,TE,193,1193.6666666666667,1120.75,159,-2,2019,1,20
Gerald Everett,1830,870,864,201,TE,196,1188,1108.5,160,-12.25,2017,2,44
Michael Thomas,2011,1145,123,189,WR,158,1093,1106,161,-2.5,2016,2,47
Curtis Samuel,2330,817,370,165,WR,206,1172.3333333333333,1083.5,162,-22.5,2017,2,40
Terrace Marshall,2009,768,741,190,WR,215,1172.6666666666667,1071.5,163,-12,NA,NA,NA
D'Onta Foreman,1992,1014,247,191,RB,175,1084.3333333333333,1066.75,164,-4.75,2017,3,89
Khalil Shakir,2172,742,494,177,WR,220,1136,1037.5,165,-29.25,2022,5,148
Isaiah Hodgins,2399,749,247,161,WR,217,1131.6666666666667,1036,166,-1.5,2020,6,207
Michael Gallup,2192,851,247,172,WR,199,1096.6666666666667,1035.25,167,-0.75,2018,3,81
Juwan Johnson,1819,658,988,203,TE,227,1155,1030.75,168,-4.5,NA,NA,NA
Chuba Hubbard,2034,837,247,186,RB,202,1039.3333333333333,988.75,169,-42,2021,4,126
Hunter Renfrow,2223,846,0,167,WR,201,1023,978.75,170,-10,2019,5,149
Zach Ertz,1585,977,370,219,TE,182,977.3333333333334,977.25,171,-1.5,2013,2,35
Cade Otton,2025,798,247,187,TE,208,1023.3333333333334,967,172,-10.25,2022,4,106
Jaylen Warren,2065,768,247,182,RB,214,1026.6666666666667,962,173,-5,NA,NA,NA
K.J. Osborn,2179,791,0,174,WR,210,990,940.25,174,-21.75,2020,5,176
Baker Mayfield,1879,744,370,196,QB,219,997.6666666666666,934.25,175,-6,2018,1,1
Zamir White,2176,780,0,175,RB,212,985.3333333333334,934,176,-0.25,2022,4,122
Tyler Huntley,1784,479,NA,208,QB,243,1131.5,904.8600000000001,177,-29.139999999999873,NA,NA,NA
Rashaad Penny,1819,886,0,204,RB,194,901.6666666666666,897.75,178,-7.110000000000127,2018,1,27
Michael Carter,2047,648,247,184,RB,229,980.6666666666666,897.5,179,-0.25,2021,4,107
Clyde Edwards-Helaire,1905,828,0,194,RB,204,911,890.25,180,-7.25,2020,1,32
Matt Corral,1785,453,NA,207,QB,247,1119,888.0300000000001,181,-2.2199999999999136,NA,NA,NA
David Bell,1854,665,123,199,WR,226,880.6666666666666,826.75,182,-61.280000000000086,2022,3,99
Greg Dortch,1907,285,NA,193,WR,268,1096,817.4100000000001,183,-9.339999999999918,NA,NA,NA
Davis Mills,1480,494,NA,225,QB,240,987,814.44,184,-2.9700000000000273,2021,3,67
Isaiah Spiller,1867,669,0,197,RB,224,845.3333333333334,801.25,185,-13.190000000000055,2022,4,123
Jameis Winston,1867,409,494,198,QB,250,923.3333333333334,794.75,186,-6.5,2015,1,1
Jerome Ford,1391,500,NA,235,RB,239,945.5,789.03,187,-5.720000000000027,2022,5,156
Parris Campbell,1899,516,123,195,WR,238,846,763.5,188,-25.529999999999973,2019,2,59
Samaje Perine,1592,721,0,218,RB,222,771,758.5,189,-5,2017,4,114
Carson Wentz,1085,355,1235,279,QB,256,891.6666666666666,757.5,190,-1,2016,1,2
Jerick McKinnon,1577,725,0,220,RB,221,767.3333333333334,756.75,191,-0.75,2014,3,96
Adam Thielen,1352,772,123,239,WR,213,749,754.75,192,-2,NA,NA,NA
Bailey Zappe,1816,466,247,206,QB,245,843,748.75,193,-6,2022,4,137
Jake Ferguson,1648,632,0,214,TE,230,760,728,194,-20.75,2022,4,129
Mecole Hardman,1844,526,0,200,WR,237,790,724,195,-4,2019,2,56
Gardner Minshew,1301,418,NA,247,QB,249,859.5,705.21,196,-18.789999999999964,NA,NA,NA
Irv Smith Jr.,1755,529,0,210,TE,236,761.3333333333334,703.25,197,-1.9600000000000364,2019,2,50
Devin Duvernay,1437,326,NA,232,WR,259,881.5,689.37,198,-13.879999999999995,2020,3,92
Zonovan Knight,1738,488,0,211,RB,241,742,678.5,199,-10.870000000000005,NA,NA,NA
Jeffery Wilson,1468,553,123,229,RB,235,714.6666666666666,674.25,200,-4.25,NA,NA,NA
Allen Robinson,1216,667,123,256,WR,225,668.6666666666666,668.25,201,-6,2014,2,61
Sam Darnold,1612,404,247,216,QB,251,754.3333333333334,666.75,202,-1.5,2018,1,3
James Robinson,1421,577,0,233,RB,232,666,643.75,203,-23,NA,NA,NA
Jarrett Stidham,1358,277,NA,238,QB,270,817.5,630.96,204,-12.789999999999964,2019,4,133
Cordarrelle Patterson,1371,565,0,236,RB,233,645.3333333333334,625.25,205,-5.710000000000036,2013,1,29
Darius Slayton,1758,306,123,209,WR,261,729,623.25,206,-2,2019,5,171
Hayden Hurst,1556,462,0,223,TE,246,672.6666666666666,620,207,-3.25,2018,1,25
Mike White,1471,349,247,228,QB,257,689,604,208,-16,2018,5,171
Kyren Williams,1557,420,0,221,RB,248,659,599.25,209,-4.75,2022,5,164
Hunter Henry,1304,476,123,244,TE,244,634.3333333333334,594.75,210,-4.5,2016,2,35
Hassan Haskins,1594,382,0,217,RB,253,658.6666666666666,589.5,211,-5.25,2022,4,131
Marquez Valdes-Scantling,1548,381,0,224,WR,254,643,577.5,212,-12,2018,5,174
Deon Jackson,1226,258,NA,255,RB,276,742,574.86,213,-2.6399999999999864,NA,NA,NA
Odell Beckham,1182,557,0,265,WR,234,579.6666666666666,574,214,-0.8600000000000136,NA,NA,NA
Tim Patrick,1202,232,NA,261,WR,281,717,549.78,215,-24.220000000000027,NA,NA,NA
Raheem Mostert,1193,483,0,264,RB,242,558.6666666666666,539.75,216,-10.029999999999973,NA,NA,NA
Jacoby Brissett,1290,306,247,249,QB,262,614.3333333333334,537.25,217,-2.5,2016,3,91
Gus Edwards,1351,393,0,240,RB,252,581.3333333333334,534.25,218,-3,NA,NA,NA
Albert Okwuegbunam,1475,326,0,227,TE,258,600.3333333333334,531.75,219,-2.5,2020,4,118
Brevin Jordan,1209,186,NA,259,TE,290,697.5,521.73,220,-10.019999999999982,2021,5,147
Zack Moss,1049,264,NA,286,RB,273,656.5,520.4100000000001,221,-1.3199999999999363,2020,3,86
Pierre Strong Jr.,1479,299,0,226,RB,263,592.6666666666666,519.25,222,-1.1600000000000819,NA,NA,NA
Taylor Heinicke,1126,222,NA,273,QB,284,674,518.1,223,-1.1499999999999773,NA,NA,NA
Joshua Kelley,1341,318,0,241,RB,260,553,494.25,224,-23.850000000000023,2020,4,112
Van Jefferson,1443,266,0,231,WR,271,569.6666666666666,493.75,225,-0.5,2020,2,57
KJ Hamler,1556,193,0,222,WR,289,583,485.5,226,-8.25,2020,2,46
Richie James,1171,141,NA,266,WR,298,656,479.49,227,-6.009999999999991,2018,7,240
Isaiah McKenzie,1316,295,0,243,WR,266,537,476.5,228,-2.990000000000009,2017,5,172
Eno Benjamin,1149,140,NA,270,RB,299,644.5,471.57000000000005,229,-4.92999999999995,2020,7,222
Kyle Philips,1287,297,0,250,WR,265,528,470.25,230,-1.32000000000005,2022,5,163
Corey Davis,1284,292,0,251,WR,267,525.3333333333334,467,231,-3.25,2017,1,5
Malik Davis,1121,145,NA,275,RB,297,633,465.63,232,-1.3700000000000045,NA,NA,NA
Marcus Mariota,889,257,NA,307,QB,279,573,462.99,233,-2.6399999999999864,2015,1,2
Justyn Ross,1130,131,NA,272,WR,302,630.5,459.36,234,-3.6299999999999955,NA,NA,NA
Nyheim Hines,1232,299,0,254,RB,264,510.3333333333333,457.5,235,-1.8600000000000136,2018,4,104
Tyler Conklin,1248,264,0,253,TE,272,504,444,236,-13.5,2018,5,157
Laviska Shenault,1331,221,0,242,WR,285,517.3333333333334,443.25,237,-0.75,NA,NA,NA
Foster Moreau,1302,231,0,246,TE,282,511,441,238,-2.25,2019,4,137
Noah Gray,1364,138,123,237,TE,300,541.6666666666666,440.75,239,-0.25,2021,5,162
Keaontay Ingram,1296,228,0,248,RB,283,508,438,240,-2.75,2022,6,201
Kevin Harris,1255,29,NA,252,RB,334,642,433.29,241,-4.7099999999999795,2022,6,183
Calvin Austin,1204,258,0,260,WR,277,487.3333333333333,430,242,-3.2900000000000205,NA,NA,NA
Jalen Tolbert,1198,260,0,262,WR,275,486,429.5,243,-0.5,2022,3,88
Chase Edmonds,1166,263,0,267,RB,274,476.3333333333333,423,244,-6.5,2018,4,134
Ty Chandler,973,151,NA,292,RB,295,562,420.75000000000006,245,-2.249999999999943,2022,5,169
Taysom Hill,1116,278,0,277,TE,269,464.6666666666667,418,246,-2.750000000000057,NA,NA,NA
Kendrick Bourne,1162,41,NA,268,WR,332,601.5,410.52000000000004,247,-7.479999999999961,NA,NA,NA
Tutu Atwell,1043,88,NA,287,WR,308,565.5,402.27,248,-8.250000000000057,2021,2,57
Noah Brown,1125,29,NA,274,WR,333,577,390.39,249,-11.879999999999995,2017,7,239
Russell Gage,1155,201,0,269,WR,288,452,389.25,250,-1.1399999999999864,2018,6,194
Robert Tonyan,1063,247,0,283,TE,280,436.6666666666667,389.25,251,0,NA,NA,NA
Quez Watkins,1063,58,NA,282,WR,319,560.5,389.07000000000005,252,-0.17999999999994998,2020,6,200
Robert Woods,816,368,0,323,WR,255,394.6666666666667,388,253,-1.07000000000005,2013,2,41
Donald Parham,1067,49,NA,281,TE,325,558,384.45000000000005,254,-3.5499999999999545,NA,NA,NA
Austin Hooper,821,156,NA,321,TE,293,488.5,373.89,255,-10.56000000000006,2016,3,81
Tyrion Davis-Price,1214,122,0,258,RB,304,445.3333333333333,364.5,256,-9.389999999999986,2022,3,93
Jordan Mason,1194,132,0,263,RB,301,442,364.5,257,0,NA,NA,NA
Tommy Tremble,1009,47,NA,289,TE,327,528,363.99,258,-0.5099999999999909,2021,3,83
Dyami Brown,1067,16,NA,280,WR,342,541.5,362.67,259,-1.3199999999999932,2021,3,82
Caleb Huntley,1054,7,NA,284,RB,346,530.5,352.44,260,-10.230000000000018,NA,NA,NA
Jarvis Landry,704,179,NA,340,WR,292,441.5,350.46000000000004,261,-1.9799999999999613,2014,2,63
Amari Rodgers,962,42,NA,295,WR,329,502,345.18000000000006,262,-5.279999999999973,2021,3,85
Teddy Bridgewater,876,73,NA,310,QB,312,474.5,337.26000000000005,263,-7.920000000000016,2014,1,32
Brock Wright,926,41,NA,299,TE,330,483.5,332.64000000000004,264,-4.6200000000000045,NA,NA,NA
Snoop Conner,900,50,NA,306,RB,324,475,330,265,-2.640000000000043,2022,5,154
Danny Gray,885,52,NA,308,WR,322,468.5,326.37,266,-3.6299999999999955,2022,3,105
Mack Hollins,787,98,NA,325,WR,306,442.5,324.39000000000004,267,-1.9799999999999613,2017,4,118
Andy Dalton,675,150,NA,343,QB,296,412.5,321.75,268,-2.640000000000043,2011,2,35
Josh Reynolds,860,57,NA,314,WR,320,458.5,321.42,269,-0.3299999999999841,2017,4,117
DeVante Parker,866,208,0,312,WR,286,358,320.5,270,-0.9200000000000159,2015,1,14
Nick Westbrook-Ikhine,971,0,NA,294,WR,350,485.5,320.43,271,-0.06999999999999318,NA,NA,NA
Chris Evans,913,22,NA,300,RB,337,467.5,315.81,272,-4.6200000000000045,2021,6,202
Trestan Ebner,913,21,NA,301,RB,338,467,315.15000000000003,273,-0.6599999999999682,2022,6,203
JaMycal Hasty,997,119,0,291,RB,305,372,308.75,274,-6.400000000000034,NA,NA,NA
Darrell Henderson,771,70,NA,327,RB,313,420.5,300.63,275,-8.120000000000005,2019,3,70
D'Ernest Johnson,1053,74,0,285,RB,311,375.6666666666667,300.25,276,-0.37999999999999545,NA,NA,NA
Drew Lock,730,88,NA,335,QB,309,409,298.98,277,-1.2699999999999818,NA,NA,NA
Harrison Bryant,1107,41,0,278,TE,331,382.6666666666667,297.25,278,-1.7300000000000182,2020,4,115
Tyler Badie,884,2,NA,309,RB,349,443,293.04,279,-4.2099999999999795,2022,6,196
Jonnu Smith,754,67,NA,332,TE,315,410.5,293.04,280,0,2017,3,100
Mitchell Trubisky,745,68,NA,333,QB,314,406.5,290.73,281,-2.3100000000000023,2017,1,2
Sterling Shepard,765,57,NA,330,WR,321,411,290.07000000000005,282,-0.6599999999999682,2016,2,40
Will Dissly,837,19,NA,318,TE,339,428,288.75000000000006,283,-1.3199999999999932,2018,4,120
Velus Jones,865,130,0,313,WR,303,331.6666666666667,281.25,284,-7.500000000000057,NA,NA,NA
Denzel Mims,821,11,NA,322,WR,344,416,278.19,285,-3.0600000000000023,2020,2,59
Sam Ehlinger,707,60,NA,339,QB,318,383.5,272.91,286,-5.279999999999973,2021,6,218
Ben Skowronek,902,47,0,304,WR,326,316.3333333333333,249,287,-23.910000000000025,2021,7,249
Demarcus Robinson,720,4,NA,337,WR,348,362,240.24,288,-8.759999999999991,2016,4,126
Dontrell Hilliard,698,6,NA,342,RB,347,352,234.3,289,-5.939999999999998,NA,NA,NA
Matt Ryan,193,258,NA,410,QB,278,225.5,233.97,290,-0.3300000000000125,NA,NA,NA
J.D. McKissic,669,19,NA,344,RB,340,344,233.31,291,-0.6599999999999966,NA,NA,NA
DeAndre Carter,645,14,NA,348,WR,343,329.5,222.09000000000003,292,-11.21999999999997,NA,NA,NA
Trey Sermon,570,51,NA,360,RB,323,310.5,221.76000000000002,293,-0.3300000000000125,2021,3,88
Kylen Granson,832,18,0,320,TE,341,283.3333333333333,217,294,-4.760000000000019,2021,4,127
Olamide Zaccheaus,847,10,0,317,WR,345,285.6666666666667,216.75,295,-0.25,NA,NA,NA
Marvin Jones,516,47,NA,371,WR,328,281.5,201.3,296,-15.449999999999989,2012,5,166
Cooper Rush,532,24,NA,367,QB,336,278,191.4,297,-9.900000000000006,NA,NA,NA
Kenyan Drake,382,97,NA,392,RB,307,239.5,190.07999999999998,298,-1.3200000000000216,2016,3,73
Logan Thomas,427,154,0,389,TE,294,193.66666666666666,183.75,299,-6.329999999999984,2014,4,120
Latavius Murray,255,203,0,400,RB,287,152.66666666666666,165.25,300,-18.5,2013,6,181
Colt McCoy,0,183,NA,451,QB,291,91.5,120.78,301,-44.47,2010,3,85
Melvin Gordon,46,88,NA,446,RB,310,67,73.26,302,-47.519999999999996,2015,1,15
Kenny Golladay,79,65,NA,438,WR,316,72,68.97,303,-4.290000000000006,2017,3,96
Julio Jones,49,25,NA,445,WR,335,37,32.67,304,-36.3,2011,1,6
